short_names,sentences,speed,articulation_rate
s01,if it doesn't matter who wins why do we keep score,Normal,5.531913831378538
s02,stop each car if it's little,Normal,4.528517779603333
s03,play in the street up ahead,Normal,5.511810315049292
s04,a fifth wheel caught speeding,Normal,4.22535233534002
s05,it's been about two years since davey kept shotguns,Normal,5.028028503562945
s06,charlie did you think to measure the tree,Normal,5.933560270710278
s07,tina got cued to make a quicker escape,Normal,5.759163383965303
s08,joe books very few judges,Normal,4.299083642035485
s09,here i was in miami and illinois,Normal,6.66666785771569
s10,she had your dark suit in greasy wash water all year,Normal,4.961832911359433
s11,don't ask me to carry an oily rag like that,Normal,5.939593925721406
s12,a boring novel is a superb sleeping pill,Normal,5.454545600719631
s13,call an ambulance for medical assistance,Normal,6.0969849188336
s14,we saw eight tiny icicles below our roof,Normal,4.8780481509810105
s15,each untimely income loss coincided with the breakdown of a heating system part,Normal,5.378972517640179
s16,jeff thought you argued in favor of a centrifuge purchase,Normal,4.777070015397128
s17,the sermon emphasized the need for afirmative action,Normal,5.319149402379573
s18,kindergarten children decorate their classrooms for all holidays,Normal,5.537458641242507
s19,cory and trish played tag with beach balls for hours,Normal,4.444443836025577
s20,the frightened child was gently subdued by his big brother,Normal,5.017921685291381
s21,the tooth fairy forgot to come when roger's tooth fell out,Normal,5.66801556991208
s22,alice's ability to work without supervision is noteworthy,Normal,6.375839969262653
s23,special task forces rescue hostages from kidnappers,Normal,4.635761182153701
s24,if carol comes tomorrow have her arrange for a meeting at two,Normal,5.96491303055755
s25,military personnel are expected to obey government orders,Normal,5.351171116425955
s26,laugh dance and sing if fortune smiles upon you,Normal,3.942652560465368
s27,the fish began to leap frantically on the surface of the small lake,Normal,5.51947988149841
s28,the easygoing zoologist relaxed throughout the voyage,Normal,5.860804872589446
s29,brush fires are common in the dry underbrush of nevada,Normal,5.882352141837235
s30,how much will it cost to do any necessary modernizing and redecorating,Normal,6.727828694858006
s31,was she just naturally sloppy about everything but her physical appearance,Normal,7.000000714285787
s32,is a relaxed home atmosphere enough to help her outgrow these traits,Normal,4.644808472663967
s33,the same shelter could be built into an embankment or below ground level,Normal,5.654762584053922
s01,if it doesn't matter who wins why do we keep score,Fast,10.236222409769448
s02,stop each car if it's little,Fast,8.536587844537703
s03,play in the street up ahead,Fast,9.999994525432216
s04,a fifth wheel caught speeding,Fast,8.219181401216359
s05,it's been about two years since davey kept shotguns,Fast,7.8947354287978095
s06,charlie did you think to measure the tree,Fast,8.695655294507077
s07,tina got cued to make a quicker escape,Fast,8.527129309749975
s08,joe books very few judges,Fast,7.60869977796005
s09,here i was in miami and illinois,Fast,10.280374158572512
s10,she had your dark suit in greasy wash water all year,Fast,8.124998860012916
s11,don't ask me to carry an oily rag like that,Fast,8.823530309182589
s12,a boring novel is a superb sleeping pill,Fast,8.888886216325469
s13,call an ambulance for medical assistance,Fast,8.450704211857328
s14,we saw eight tiny icicles below our roof,Fast,8.823526425277002
s15,each untimely income loss coincided with the breakdown of a heating system part,Fast,8.906883637740052
s16,jeff thought you argued in favor of a centrifuge purchase,Fast,8.287294468472986
s17,the sermon emphasized the need for afirmative action,Fast,9.433964914632394
s18,kindergarten children decorate their classrooms for all holidays,Fast,9.139783274854937
s19,cory and trish played tag with beach balls for hours,Fast,7.453416096580216
s20,the frightened child was gently subdued by his big brother,Fast,7.865169190598483
s21,the tooth fairy forgot to come when roger's tooth fell out,Fast,9.032258963051143
s22,alice's ability to work without supervision is noteworthy,Fast,9.94764458136538
s23,special task forces rescue hostages from kidnappers,Fast,6.542056573874239
s24,if carol comes tomorrow have her arrange for a meeting at two,Fast,10.179638686698866
s25,military personnel are expected to obey government orders,Fast,8.51063921147162
s26,laugh dance and sing if fortune smiles upon you,Fast,7.746478860869217
s27,the fish began to leap frantically on the surface of the small lake,Fast,8.994708390378205
s28,the easygoing zoologist relaxed throughout the voyage,Fast,9.999998752834625
s29,brush fires are common in the dry underbrush of nevada,Fast,8.791206381518771
s30,how much will it cost to do any necessary modernizing and redecorating,Fast,8.677684844582055
s31,was she just naturally sloppy about everything but her physical appearance,Fast,9.051722846243315
s32,is a relaxed home atmosphere enough to help her outgrow these traits,Fast,8.212559756724197
s33,the same shelter could be built into an embankment or below ground level,Fast,8.407079114596769
